ID Age Tenure WellBeing JobSat JobPerf IQ
1 40 10 7.92 8.33 5.63 105.93
2 53 14 6.21 4.99 NA 92.69
3 46 10 NA 7.39 7.3 106.76
4 37 8 6.51 NA 5.02 94.27
5 44 9 NA 5.05 NA 107.43
6 39 10 7.11 NA 6.99 117.75
7 33 7 NA 5.14 6.9 103.19
8 43 9 6.57 NA 6.87 105.96
9 35 9 7.37 7.16 6.62 108.45
10 37 10 4.85 6.41 6.24 96.78
11 35 8 NA 7.54 5.07 100.13
12 45 9 7.22 6.28 5.98 111.99
13 38 11 5.83 NA 5.11 101.96
14 38 9 6.4 NA 6.28 96.98
15 35 4 NA 5.13 6.23 88.7
16 29 1 5.2 NA 5.54 103.71
17 37 8 5.65 NA 4.91 89.52
18 31 7 5.91 NA 6.04 96.21
19 30 4 5.75 NA 5.98 96.99
20 44 15 6.69 NA 6.5 101.51
21 40 12 7.33 7.2 7.01 102.04
22 33 10 7.34 NA 7.5 109.58
23 42 13 NA 7.27 5.93 112.98
24 33 9 6.09 NA 6.48 102.15
25 40 14 NA 6.97 5.96 107.77
26 44 9 NA 4.81 NA 93.11
27 43 8 7.28 NA 8.01 104.28
28 35 9 5.85 NA 7.34 96.47
29 39 14 7.86 4.52 8.77 99.96
30 31 4 6 NA 5.41 105.39
31 36 7 8.24 NA 5.56 90.87
32 31 6 6.49 NA 3.98 102.63
33 29 6 5.31 NA 5.17 92.72
34 47 10 NA 6.9 5.27 98.06
35 39 8 7.13 6.09 7.13 110.93
36 31 8 5.97 NA 7.09 90.6
37 46 12 6.25 8.33 6.23 94.28
38 40 10 NA 6.04 6.47 101.73
39 34 8 NA 4.59 NA 94.08
40 32 4 6.45 NA 3.71 79.2
41 47 11 5.91 6.42 4.84 110.07
42 34 9 6.58 5.87 5.92 88.6
43 41 11 NA 5.1 6.34 91.24
44 30 4 3.91 NA 4.14 103.86
45 45 10 5.83 5.09 3.77 95.16
46 33 11 5.75 NA 5.09 100.97
47 52 16 7.37 NA 4.92 93.03
48 41 7 7.07 5.1 6.47 112.57
49 40 7 NA 3.71 7.59 91.63
50 43 12 NA 3.85 NA 112.22
51 42 12 7.42 NA 6.21 105.9
52 37 13 4.98 NA 6.42 117.07
53 34 5 NA 6.07 6.74 102.01
54 36 10 8.34 NA 8.47 111.96
55 35 11 7.28 NA 6.19 103.25
56 40 13 7.04 NA 5.62 102.57
57 46 12 7.96 6.5 8.25 102.98
58 29 4 5.7 4.54 NA 110.11
59 39 11 6.77 NA 7.36 112.43
60 45 13 NA 4.98 NA 96.44
61 45 19 NA 5.63 7.23 107.95
62 49 17 7.34 7.07 7.32 101.63
63 41 8 5.17 NA 3.03 94.59
64 29 11 NA 5.61 6.84 103.93
65 26 8 4.82 NA 5.89 106.97
66 30 4 NA 5.04 NA 97.48
67 43 16 7.47 7.19 4.88 84.22
68 47 12 8.74 NA 6.61 97.21
69 31 7 7 5.72 6.46 105.44
70 33 9 NA 8.1 5.6 102.09
71 42 12 7.93 NA 7.74 109.72
72 46 15 NA 6.55 5.66 109.13
73 32 10 NA 6.51 5.85 99.39
74 40 10 5.79 5.68 4.22 96.26
75 40 11 5.18 NA 4.59 98.07
76 41 15 7.01 6.12 4.28 93.12
77 46 11 6.47 6.94 4.33 101.24
78 41 9 NA 6.46 6.13 91.71
79 41 6 6.89 6.43 4.69 94.75
80 30 10 7.54 NA 9.58 111.23
81 43 14 NA 5.79 6.33 102.93
82 40 7 5.65 4.9 NA 98.22
83 29 6 5.31 NA 6.16 97.53
84 30 6 6.9 NA 7.26 98
85 37 10 NA 4.14 NA 92.51
86 40 9 7.81 NA 6.29 100.95
87 33 8 5.94 NA 5.89 101.47
88 45 9 6.08 NA 4.63 97.95
89 39 5 4.55 4.89 NA 101.23
90 27 9 NA 5.93 6.23 99.82
91 35 7 6.9 NA 6.06 97.61
92 41 10 6.7 7.23 7.82 124.26
93 37 5 6.69 NA 7.01 106.67
94 39 13 4.93 NA 3.28 95.43
95 46 15 5.73 7.26 5.38 90.36
96 30 11 NA 5.46 6.02 105.48
97 44 14 6.5 6.4 6.4 101.38
98 31 7 6.61 8.03 8.07 105.49
99 37 7 NA 6.69 8.29 112.27
100 36 10 NA 6.15 5.91 94.97
101 36 11 6.76 6.26 7.3 106.78
102 34 5 6.83 5.18 7.73 98.36
103 41 12 NA 8.64 7.58 94.93
104 37 14 8.88 5.94 7.96 97.78
105 38 10 5.16 5.97 6.55 110.71
106 45 9 4.52 NA 4.24 99.18
107 42 16 6.61 NA 5.51 102.68
108 43 11 6.02 3.19 4.26 85.9
109 38 11 NA 3.7 3.08 95.07
110 37 12 5.25 NA 6.57 99.04
111 41 14 NA 6 7.02 101.59
112 41 12 NA 6.22 7.13 112.04
113 41 16 NA 8.24 5.89 107.98
114 38 8 NA 6.05 7.75 112.81
115 39 8 6.43 NA 6.18 111.46
116 38 9 NA 7.19 5.14 94.5
117 40 8 4.31 NA 4.41 95.36
118 32 8 5.76 6.11 6.29 104.21
119 41 8 6.91 NA 6.83 99.44
120 40 8 5.15 4.98 NA 86.8
121 38 7 6.46 NA 4.61 105.59
122 34 12 4.39 4.52 NA 101.2
123 50 13 9.5 7.7 7.66 110.5
124 31 8 NA 6.81 6.93 93.11
125 46 14 3.57 5.03 NA 87.15
126 35 7 4.89 NA 3.38 94.18
127 26 10 6.21 NA 6.58 106.23
128 34 11 6.22 6.21 6.34 92.94
129 34 11 6.56 NA 5.34 96.92
130 38 14 9.27 NA 7.88 107.98
131 34 9 NA 7.27 6.65 98.54
132 33 9 6.56 NA 7.26 96.58
133 34 6 5.56 3.93 NA 71.07
134 40 7 NA 3.63 NA 85.81
135 34 9 8.16 6.54 7.94 108.38
136 36 12 6.37 NA 5.49 115.91
137 40 12 7.27 8.08 8.4 124.81
138 43 15 NA 3.58 NA 79.97
139 35 6 NA 6.36 7.18 103.21
140 28 6 NA 6.24 7.01 109.72
141 32 8 NA 5.76 6.9 100.47
142 35 12 5.33 NA 5.54 116.24
143 37 9 NA 4.1 NA 100.28
144 38 11 7.89 5.53 6.18 98.81
145 33 12 NA 5.92 8.06 110.17
146 43 13 NA 5 NA 95.76
